                              | PREDICT__________________________________________| 
MM/DD/YYYY HH/MM/SS    DATA   | ENERGY          RMSE_E          RMSE_F           | ENERGY           | 
------------------------------------------------------------------------------------------------------
12/14/2025 23:31:26    0      | -17660.07617    0.007818897255  0.03433645517    | -17660.06836    
12/14/2025 23:31:26    1      | -17660.37109    0.005867902189  0.03149853647    | -17660.37695    
12/14/2025 23:31:26    2      | -17660.25195    0.005867902189  0.03017707914    | -17660.25781    
12/14/2025 23:31:27    3      | -17660.64062    0.009770743549  0.02760921791    | -17660.65039    
12/14/2025 23:31:27    4      | -17659.98438    0.003919029143  0.03666293994    | -17659.98828    
12/14/2025 23:31:27    5      | -17660.19922    0.005867902189  0.02889261395    | -17660.20508    
12/14/2025 23:31:28    6      | -17660.69531    0.005867902189  0.02406761795    | -17660.70117    
12/14/2025 23:31:28    7      | -17660.63086    0.005867902189  0.02960556932    | -17660.63672    
12/14/2025 23:31:28    8      | -17660.39258    0.01367553137   0.03285191208    | -17660.40625    
12/14/2025 23:31:28    9      | -17660.39648    0.02539259382   0.03326064348    | -17660.42188    
12/14/2025 23:31:28    10     | -17660.36133    0.003919029143  0.030763207      | -17660.35742    
12/14/2025 23:31:28    11     | -17660.63281    0.003919029143  0.02819307335    | -17660.62891    
12/14/2025 23:31:28    12     | -17660.54688    0.01758096926   0.02849367261    | -17660.5293     
12/14/2025 23:31:28    13     | -17660.39062    0.005867902189  0.03611017019    | -17660.38477    
12/14/2025 23:31:28    14     | -17660.30273    0.01367553137   0.03564132378    | -17660.28906    
12/14/2025 23:31:28    15     | -17660.42383    0.005867902189  0.02998462878    | -17660.41797    
12/14/2025 23:31:28    16     | -17660.4082     0.005867902189  0.0233590398     | -17660.40234    
12/14/2025 23:31:28    17     | -17660.23438    0.00197855942   0.03801545873    | -17660.23633    
12/14/2025 23:31:28    18     | -17660.61328    0.005867902189  0.03314374387    | -17660.61914    
12/14/2025 23:31:28    19     | -17660.44531    0.01172301546   0.03188177571    | -17660.45703    
12/14/2025 23:31:28    20     | -17660.46289    0.0003162277571 0.02601505257    | -17660.46289    
12/14/2025 23:31:28    21     | -17660.49219    0.02539259382   0.02527613938    | -17660.4668     
12/14/2025 23:31:28    22     | -17660.60938    0.005867902189  0.02540905401    | -17660.60352    
12/14/2025 23:31:28    23     | -17660.33008    0.01758096926   0.02528596856    | -17660.3125     
12/14/2025 23:31:28    24     | -17660.38477    0.007818897255  0.02967336588    | -17660.39258    
12/14/2025 23:31:28    25     | -17660.13867    0.04687606543   0.03257983923    | -17660.18555    
12/14/2025 23:31:28    26     | -17660.38867    0.01367553137   0.04425890371    | -17660.40234    
12/14/2025 23:31:28    27     | -17660.28906    0.02343963273   0.03722634539    | -17660.3125     
12/14/2025 23:31:28    28     | -17660.33398    0.02343963273   0.03521173447    | -17660.35742    
12/14/2025 23:31:28    29     | -17660.35156    0.005867902189  0.03760626912    | -17660.3457     
12/14/2025 23:31:28    30     | -17660.55273    0.0003162277571 0.03400113434    | -17660.55273    
12/14/2025 23:31:28    31     | -17660.36523    0.0390637815    0.02789435349    | -17660.4043     
12/14/2025 23:31:28    32     | -17660.35547    0.02343963273   0.02849792689    | -17660.37891    
12/14/2025 23:31:28    33     | -17660.55469    0.009770743549  0.05286245421    | -17660.54492    
12/14/2025 23:31:28    34     | -17660.37109    0.02929858118   0.03689151257    | -17660.40039    
12/14/2025 23:31:28    35     | -17660.50781    0.005867902189  0.03496409208    | -17660.51367    
12/14/2025 23:31:28    36     | -17660.30859    0.01172301546   0.0249977652     | -17660.32031    
12/14/2025 23:31:28    37     | -17660.27539    0.02148670144   0.04004654288    | -17660.29688    
12/14/2025 23:31:28    38     | -17660.37891    0.01367553137   0.0267985221     | -17660.39258    
12/14/2025 23:31:29    39     | -17660.38086    0.00197855942   0.03344094008    | -17660.38281    
12/14/2025 23:31:29    40     | -17660.54297    0.02343963273   0.03279690817    | -17660.56641    
12/14/2025 23:31:29    41     | -17660.49023    0.01758096926   0.03910434246    | -17660.50781    
12/14/2025 23:31:29    42     | -17660.11914    0.01172301546   0.04282800481    | -17660.13086    
12/14/2025 23:31:29    43     | -17660.37305    0.00197855942   0.03086861223    | -17660.37109    
12/14/2025 23:31:29    44     | -17660.50195    0.01758096926   0.02835162915    | -17660.51953    
12/14/2025 23:31:29    45     | -17660.50586    0.03515767306   0.03567073122    | -17660.54102    
12/14/2025 23:31:29    46     | -17660.39258    0.00197855942   0.04509378597    | -17660.39453    
12/14/2025 23:31:29    47     | -17660.63672    0.01758096926   0.02905666456    | -17660.6543     
12/14/2025 23:31:29    48     | -17660.2832     0.007818897255  0.03749827668    | -17660.29102    
12/14/2025 23:31:29    49     | -17660.23047    0.00197855942   0.02992794104    | -17660.23242    
12/14/2025 23:31:29    50     | -17660.39258    0.02734557912   0.0416344814     | -17660.36523    
12/14/2025 23:31:29    51     | -17660.3457     0.01562820002   0.03022536635    | -17660.33008    
12/14/2025 23:31:29    52     | -17660.53516    0.003919029143  0.02796020731    | -17660.53125    
12/14/2025 23:31:29    53     | -17660.38281    0.007818897255  0.0299763307     | -17660.39062    
12/14/2025 23:31:29    54     | -17660.26758    0.01953380927   0.0318049714     | -17660.28711    
12/14/2025 23:31:29    55     | -17660.08984    0.01758096926   0.03219928965    | -17660.07227    
12/14/2025 23:31:29    56     | -17660.32422    0.007818897255  0.02618871816    | -17660.31641    
12/14/2025 23:31:29    57     | -17660.20703    0.0390637815    0.03575389087    | -17660.16797    
12/14/2025 23:31:29    58     | -17660.45508    0.02539259382   0.03136148304    | -17660.42969    
12/14/2025 23:31:29    59     | -17660.10156    0.02343963273   0.03533198312    | -17660.07812    
12/14/2025 23:31:29    60     | -17660.27734    0.03125159815   0.03493680432    | -17660.24609    
12/14/2025 23:31:29    61     | -17660.45508    0.009770743549  0.03762596846    | -17660.44531    
12/14/2025 23:31:29    62     | -17660.53125    0.02343963273   0.03297476843    | -17660.50781    
12/14/2025 23:31:29    63     | -17660.34375    0.005867902189  0.02752885595    | -17660.33789    
12/14/2025 23:31:29    64     | -17660.48242    0.01562820002   0.03378299624    | -17660.49805    
12/14/2025 23:31:29    65     | -17659.82617    0.0003162277571 0.05146235973    | -17659.82617    
12/14/2025 23:31:29    66     | -17660.61328    0.01953380927   0.03298135474    | -17660.63281    
12/14/2025 23:31:29    67     | -17660.34375    0.01758096926   0.03710299358    | -17660.36133    
12/14/2025 23:31:29    68     | -17660.48242    0.01367553137   0.02696316503    | -17660.46875    
12/14/2025 23:31:29    69     | -17660.5293     0.00197855942   0.02672087029    | -17660.53125    
12/14/2025 23:31:29    70     | -17660.33008    0.02148670144   0.03568931669    | -17660.35156    
12/14/2025 23:31:30    71     | -17660.2832     0.00197855942   0.03430578858    | -17660.28516    
12/14/2025 23:31:30    72     | -17660.51562    0.007818897255  0.03124658391    | -17660.52344    
12/14/2025 23:31:30    73     | -17660.15234    0.01172301546   0.03497852385    | -17660.16406    
12/14/2025 23:31:30    74     | -17660.29688    0.02343963273   0.03686681762    | -17660.32031    
12/14/2025 23:31:30    75     | -17660.36523    0.009770743549  0.03502008319    | -17660.375      
12/14/2025 23:31:30    76     | -17660.41602    0.04101684317   0.03344406188    | -17660.45703    
12/14/2025 23:31:30    77     | -17660.18359    0.06054769829   0.05333089828    | -17660.24414    
12/14/2025 23:31:30    78     | -17660.64453    0.009770743549  0.045718126      | -17660.6543     
12/14/2025 23:31:30    79     | -17660.46289    0.03125159815   0.02693662047    | -17660.49414    
12/14/2025 23:31:30    80     | -17660.26953    0.00197855942   0.03139141202    | -17660.27148    
12/14/2025 23:31:30    81     | -17660.67969    0.00197855942   0.03127038106    | -17660.68164    
12/14/2025 23:31:30    82     | -17660.61328    0.00197855942   0.02059665322    | -17660.61133    
12/14/2025 23:31:30    83     | -17660.63086    0.003919029143  0.02196117118    | -17660.62695    
12/14/2025 23:31:30    84     | -17660.54102    0.01172301546   0.03269671649    | -17660.5293     
12/14/2025 23:31:30    85     | -17660.50195    0.01172301546   0.0248289872     | -17660.51367    
12/14/2025 23:31:30    86     | -17660.52344    0.01953380927   0.03447762132    | -17660.54297    
12/14/2025 23:31:30    87     | -17660.46875    0.00197855942   0.04049810022    | -17660.4707     
12/14/2025 23:31:30    88     | -17660.44141    0.003919029143  0.03066705354    | -17660.4375     
12/14/2025 23:31:30    89     | -17660.80859    0.01172301546   0.02918530256    | -17660.82031    
12/14/2025 23:31:30    90     | -17660.36523    0.005867902189  0.04560372233    | -17660.37109    
12/14/2025 23:31:30    91     | -17660.19727    0.005867902189  0.03154901415    | -17660.19141    
12/14/2025 23:31:30    92     | -17660.45898    0.02148670144   0.02471245266    | -17660.48047    
12/14/2025 23:31:30    93     | -17660.375      0.01758096926   0.03329704702    | -17660.35742    
12/14/2025 23:31:30    94     | -17660.32617    0.01562820002   0.03220151365    | -17660.3418     
12/14/2025 23:31:30    95     | -17660.45898    0.03320463002   0.03203298897    | -17660.49219    
12/14/2025 23:31:30    96     | -17660.26562    0.0003162277571 0.03810379654    | -17660.26562    
12/14/2025 23:31:30    97     | -17660.52148    0.01953380927   0.03103202581    | -17660.54102    
12/14/2025 23:31:30    98     | -17660.45508    0.009770743549  0.03564819694    | -17660.44531    
12/14/2025 23:31:30    99     | -17660.22461    0.01367553137   0.04124489427    | -17660.21094    
12/14/2025 23:31:30    100    | -17660.2207     0.007818897255  0.03500520065    | -17660.21289    
12/14/2025 23:31:31    101    | -17660.32227    0.01953380927   0.03682782874    | -17660.3418     
12/14/2025 23:31:31    102    | -17660.23438    0.00197855942   0.03852581605    | -17660.23242    
12/14/2025 23:31:31    103    | -17660.51953    0.00197855942   0.02440535463    | -17660.52148    
12/14/2025 23:31:31    104    | -17660.27734    0.01562820002   0.03527505323    | -17660.29297    
12/14/2025 23:31:31    105    | -17660.54102    0.007818897255  0.02505137771    | -17660.54883    
12/14/2025 23:31:31    106    | -17660.39844    0.009770743549  0.03054091521    | -17660.38867    
12/14/2025 23:31:31    107    | -17660.30273    0.01367553137   0.03531337902    | -17660.31641    
12/14/2025 23:31:31    108    | -17660.18945    0.005867902189  0.04484361038    | -17660.19531    
12/14/2025 23:31:31    109    | -17660.11328    0.02148670144   0.03611591458    | -17660.13477    
12/14/2025 23:31:31    110    | -17660.20117    0.00197855942   0.02958165854    | -17660.20312    
12/14/2025 23:31:31    111    | -17660.41406    0.003919029143  0.02872149833    | -17660.41797    
12/14/2025 23:31:31    112    | -17660.56641    0.005867902189  0.03537434712    | -17660.56055    
12/14/2025 23:31:31    113    | -17660.5918     0.01367553137   0.02927026525    | -17660.57812    
12/14/2025 23:31:31    114    | -17660.60938    0.02539259382   0.02844905853    | -17660.58398    
12/14/2025 23:31:31    115    | -17660.50781    0.003919029143  0.02939858101    | -17660.50391    
12/14/2025 23:31:31    116    | -17660.43945    0.005867902189  0.03172635287    | -17660.43359    
12/14/2025 23:31:31    117    | -17660.29883    0.009770743549  0.02695034444    | -17660.28906    
12/14/2025 23:31:31    118    | -17660.31055    0.0003162277571 0.03996091709    | -17660.31055    
12/14/2025 23:31:31    119    | -17660.57227    0.01172301546   0.02636105381    | -17660.56055    
12/14/2025 23:31:31    120    | -17660.38672    0.00197855942   0.02147088572    | -17660.38477    
12/14/2025 23:31:31    121    | -17660.5625     0.00197855942   0.0277694799     | -17660.56445    
12/14/2025 23:31:31    122    | -17660.63086    0.009770743549  0.02590564638    | -17660.64062    
12/14/2025 23:31:31    123    | -17660.44922    0.01367553137   0.03306283429    | -17660.46289    
12/14/2025 23:31:31    124    | -17660.36914    0.01367553137   0.02446039021    | -17660.38281    
12/14/2025 23:31:31    125    | -17660.24219    0.02343963273   0.03913309425    | -17660.26562    
12/14/2025 23:31:31    126    | -17660.28711    0.01172301546   0.03989797458    | -17660.29883    
12/14/2025 23:31:31    127    | -17660.25195    0.005867902189  0.03450603038    | -17660.25781    
12/14/2025 23:31:31    128    | -17660.60742    0.009770743549  0.02867948823    | -17660.61719    
12/14/2025 23:31:31    129    | -17660.47852    0.003919029143  0.03245036304    | -17660.48242    
12/14/2025 23:31:31    130    | -17660.12109    0.01562820002   0.03506189585    | -17660.13672    
