                              | PREDICT_________________________________| EXACT_________
MM/DD/YYYY HH/MM/SS    DATA   | ENERGY       MSE_E        MSE_F         | ENERGY        | 
------------------------------------------------------------------------------------------
01/24/2025 19:09:48    0      | -17659.82    9.536743e-05 0.03481295    | -17659.83    
01/24/2025 19:09:49    1      | -17659.11    0.07370377   0.139249      | -17658.83    
01/24/2025 19:09:49    2      | -17659.01    0            0.1475484     | -17659.01    
01/24/2025 19:09:49    3      | -17659.31    0.008071899  0.04125728    | -17659.22    
01/24/2025 19:09:49    4      | -17659.14    0.005802155  0.04081516    | -17659.07    
01/24/2025 19:09:49    5      | -17659.46    0.002780914  0.02891877    | -17659.41    
01/24/2025 19:09:50    6      | -17658.97    0.006103516  0.04299315    | -17658.89    
01/24/2025 19:09:50    7      | -17659.44    0.008789062  0.03482851    | -17659.35    
01/24/2025 19:09:50    8      | -17659.78    0.001846313  0.01695277    | -17659.74    
01/24/2025 19:09:50    9      | -17659.81    0.01816177   0.01709755    | -17659.68    
01/24/2025 19:09:50    10     | -17659.24    0.008071899  0.02910021    | -17659.15    
01/24/2025 19:09:50    11     | -17659.1     0.0008583069 0.0376182     | -17659.13    
01/24/2025 19:09:50    12     | -17660.13    0.01283264   0.01031725    | -17660.02    
01/24/2025 19:09:50    13     | -17659.72    0.01373291   0.02234425    | -17659.6     
01/24/2025 19:09:50    14     | -17659.33    0.00320816   0.02507344    | -17659.27    
01/24/2025 19:09:50    15     | -17658.99    0.002017975  0.03246769    | -17658.95    
01/24/2025 19:09:50    16     | -17659.89    0.002197266  0.02295619    | -17659.84    
01/24/2025 19:09:50    17     | -17659.56    0.001846313  0.01991147    | -17659.51    
01/24/2025 19:09:50    18     | -17659.91    0.004943848  0.01733571    | -17659.84    
01/24/2025 19:09:50    19     | -17659.94    0.002384186  0.01173432    | -17659.89    
01/24/2025 19:09:50    20     | -17659.62    0.01071548   0.02201474    | -17659.52    
01/24/2025 19:09:50    21     | -17659.46    0.006103516  0.04412897    | -17659.38    
01/24/2025 19:09:50    22     | -17658.96    0.015625     0.04311751    | -17658.84    
01/24/2025 19:09:50    23     | -17659.39    0.002578735  0.01864991    | -17659.34    
01/24/2025 19:09:50    24     | -17658.67    6.103516e-05 0.06164281    | -17658.67    
01/24/2025 19:09:50    25     | -17659.5     0.006412506  0.02910606    | -17659.42    
01/24/2025 19:09:50    26     | -17659.4     0.009536743  0.04342612    | -17659.31    
01/24/2025 19:09:50    27     | -17659.44    0.015625     0.02939729    | -17659.31    
01/24/2025 19:09:50    28     | -17658.87    0.01419449   0.06562683    | -17658.75    
01/24/2025 19:09:50    29     | -17659.36    0.005802155  0.036938      | -17659.29    
01/24/2025 19:09:50    30     | -17659.51    0.001377106  0.05995114    | -17659.48    
01/24/2025 19:09:50    31     | -17659.58    0.01327896   0.02487144    | -17659.46    
01/24/2025 19:09:50    32     | -17659.96    0.015625     0.0192542     | -17659.83    
01/24/2025 19:09:50    33     | -17659.58    0.02627945   0.08867383    | -17659.42    
01/24/2025 19:09:50    34     | -17659.21    0.01977539   0.03734937    | -17659.07    
01/24/2025 19:09:50    35     | -17659.1     0.03814697   0.03912079    | -17658.91    
01/24/2025 19:09:50    36     | -17659.61    0.005508423  0.03132583    | -17659.54    
01/24/2025 19:09:50    37     | -17659.76    0.003665924  0.01341648    | -17659.7     
01/24/2025 19:09:50    38     | -17659.44    0.0002441406 0.06871562    | -17659.42    
01/24/2025 19:09:50    39     | -17659.63    0.004673004  0.01521966    | -17659.56    
01/24/2025 19:09:50    40     | -17659.69    0.009536743  0.02340128    | -17659.6     
01/24/2025 19:09:50    41     | -17659.67    0.006729126  0.03551622    | -17659.59    
01/24/2025 19:09:50    42     | -17659.33    0.0008583069 0.01977577    | -17659.36    
01/24/2025 19:09:50    43     | -17659.16    0.07691956   0.0690336     | -17659.44    
01/24/2025 19:09:50    44     | -17659.17    0.0008583069 0.04350046    | -17659.2     
01/24/2025 19:09:50    45     | -17659.61    3.814697e-06 0.0146232     | -17659.61    
01/24/2025 19:09:50    46     | -17659.52    0.005222321  0.02041471    | -17659.45    
01/24/2025 19:09:50    47     | -17659.55    0.008789062  0.0220951     | -17659.46    
01/24/2025 19:09:50    48     | -17659.37    0.02441406   0.05141684    | -17659.21    
01/24/2025 19:09:50    49     | -17659.24    0.01977539   0.01793132    | -17659.1     
01/24/2025 19:09:50    50     | -17659.27    0.001525879  0.0409075     | -17659.23    
01/24/2025 19:09:50    51     | -17659.21    0.001102448  0.04545384    | -17659.24    
01/24/2025 19:09:50    52     | -17659.44    0.001102448  0.04870049    | -17659.41    
01/24/2025 19:09:50    53     | -17658.96    0.004673004  0.05443734    | -17658.89    
01/24/2025 19:09:50    54     | -17659.24    0.007053375  0.04915429    | -17659.32    
01/24/2025 19:09:50    55     | -17659.83    0.009922028  0.03306819    | -17659.73    
01/24/2025 19:09:50    56     | -17659.26    0.007724762  0.02596086    | -17659.17    
01/24/2025 19:09:50    57     | -17659.37    1.525879e-05 0.03095449    | -17659.36    
01/24/2025 19:09:50    58     | -17659.35    0.02502823   0.0310832     | -17659.19    
01/24/2025 19:09:51    59     | -17659.72    0.002197266  0.01819554    | -17659.67    
01/24/2025 19:09:51    60     | -17659.64    0.0007476807 0.03361816    | -17659.61    
01/24/2025 19:09:51    61     | -17659.46    0.03891373   0.03382182    | -17659.26    
01/24/2025 19:09:51    62     | -17659.74    0.02032852   0.04785865    | -17659.6     
01/24/2025 19:09:51    63     | -17659.77    0.001525879  0.02686671    | -17659.73    
01/24/2025 19:09:51    64     | -17659.2     0.107666     0.1076261     | -17658.87    
01/24/2025 19:09:51    65     | -17659.25    0.02032852   0.04499292    | -17659.39    
